id,score,term,topic,dropdown
396,70.08130905986235,pénzügyi,21,saliency (bigram)
397,70.61651727374714,pénzügyi,22,saliency (bigram)
398,9.954785228325822,pénzügyi,23,saliency (bigram)
399,20.369353199839836,pénzügyi,24,saliency (bigram)
400,37.615872445767934,rendszer,0,saliency (bigram)
401,38.02058148060338,rendszer,1,saliency (bigram)
402,32.883371464485776,rendszer,2,saliency (bigram)
403,43.96220155098884,rendszer,3,saliency (bigram)
404,73.55879439710496,rendszer,4,saliency (bigram)
405,73.04884831790567,rendszer,5,saliency (bigram)
406,20.25376278610228,rendszer,6,saliency (bigram)
407,27.04629839169212,rendszer,7,saliency (bigram)
408,53.640392702514596,rendszer,8,saliency (bigram)
409,20.170947974319674,rendszer,9,saliency (bigram)
410,19.751874628119715,rendszer,10,saliency (bigram)
411,23.279556221682828,rendszer,11,saliency (bigram)
412,23.19494266735025,rendszer,12,saliency (bigram)
413,76.1300957115285,rendszer,13,saliency (bigram)
414,39.03605326499964,rendszer,14,saliency (bigram)
415,31.83217270361321,rendszer,15,saliency (bigram)
416,29.256993706981124,rendszer,16,saliency (bigram)
417,36.59399981885148,rendszer,17,saliency (bigram)
418,54.56208027754109,rendszer,18,saliency (bigram)
419,10.67753152964776,rendszer,19,saliency (bigram)
420,25.594565188220933,rendszer,20,saliency (bigram)
421,51.246076439021266,rendszer,21,saliency (bigram)
422,20.8528660348497,rendszer,22,saliency (bigram)
423,14.223855844802127,rendszer,23,saliency (bigram)
424,81.39387345282842,rendszer,24,saliency (bigram)
425,57.272421906577556,terület,0,saliency (bigram)
426,21.620537603265984,terület,1,saliency (bigram)
427,67.42282755236192,terület,2,saliency (bigram)
428,29.912716116303454,terület,3,saliency (bigram)
429,4.67162702019584,terület,4,saliency (bigram)
430,41.285405936043844,terület,5,saliency (bigram)
431,37.18847852051529,terület,6,saliency (bigram)
432,17.761991919572154,terület,7,saliency (bigram)
433,98.3336075671913,terület,8,saliency (bigram)
434,9.274891148350486,terület,9,saliency (bigram)
435,5.511683397047392,terület,10,saliency (bigram)
436,3.515931406182405,terület,11,saliency (bigram)
437,100.66515223004086,terület,12,saliency (bigram)
438,58.230317184349694,terület,13,saliency (bigram)
439,82.12934485801883,terület,14,saliency (bigram)
440,35.262806775637394,terület,15,saliency (bigram)
441,14.367957964460311,terület,16,saliency (bigram)
442,6.556721859106421,terület,17,saliency (bigram)
443,27.13921384223599,terület,18,saliency (bigram)
444,11.914175038001332,terület,19,saliency (bigram)
445,18.103054570358065,terület,20,saliency (bigram)
446,20.0120095466528,terület,21,saliency (bigram)
447,21.739146291630426,terület,22,saliency (bigram)
448,100.58747400306642,terület,23,saliency (bigram)
449,70.33137519516109,terület,24,saliency (bigram)
450,41.81215056993789,társaság,0,saliency (bigram)
451,90.68064365184448,társaság,1,saliency (bigram)
452,58.625917868516474,társaság,2,saliency (bigram)
453,25.737339614610896,társaság,3,saliency (bigram)
454,26.19298306926657,társaság,4,saliency (bigram)
455,36.538170944508344,társaság,5,saliency (bigram)
456,97.97739129349017,társaság,6,saliency (bigram)
457,30.823980045224594,társaság,7,saliency (bigram)
458,49.33180391057301,társaság,8,saliency (bigram)
459,21.273893257092467,társaság,9,saliency (bigram)
460,23.908115876819714,társaság,10,saliency (bigram)
461,40.41854282083746,társaság,11,saliency (bigram)
462,42.597762396717876,társaság,12,saliency (bigram)
463,34.26020184914483,társaság,13,saliency (bigram)
464,62.960181254598716,társaság,14,saliency (bigram)
465,42.03600990010932,társaság,15,saliency (bigram)
466,49.32028625529307,társaság,16,saliency (bigram)
467,83.75940304247075,társaság,17,saliency (bigram)
468,66.89528272558893,társaság,18,saliency (bigram)
469,36.0202991776566,társaság,19,saliency (bigram)
470,31.244343279780416,társaság,20,saliency (bigram)
471,66.6199409198819,társaság,21,saliency (bigram)
472,37.61839763839658,társaság,22,saliency (bigram)
473,35.55541325344761,társaság,23,saliency (bigram)
474,19.915965168518206,társaság,24,saliency (bigram)
475,38.82244237092947,érdek,0,saliency (bigram)
476,32.31807015088078,érdek,1,saliency (bigram)
477,18.158717719669074,érdek,2,saliency (bigram)
478,26.619953549848127,érdek,3,saliency (bigram)
479,22.29156034840227,érdek,4,saliency (bigram)
480,44.68118454267701,érdek,5,saliency (bigram)
481,42.46585432408012,érdek,6,saliency (bigram)
482,22.528685798492813,érdek,7,saliency (bigram)
483,21.508998831325012,érdek,8,saliency (bigram)
484,11.801417842201543,érdek,9,saliency (bigram)
485,46.309712912619034,érdek,10,saliency (bigram)
486,41.98069699259129,érdek,11,saliency (bigram)
487,79.99082265128746,érdek,12,saliency (bigram)
488,36.88957382463305,érdek,13,saliency (bigram)
489,27.11039102481149,érdek,14,saliency (bigram)
490,36.15794810127127,érdek,15,saliency (bigram)
491,38.99918460432431,érdek,16,saliency (bigram)
492,13.428717845776639,érdek,17,saliency (bigram)
493,26.909358698305887,érdek,18,saliency (bigram)
494,37.60013217262288,érdek,19,saliency (bigram)
495,22.749023196731773,érdek,20,saliency (bigram)
496,43.619488701176515,érdek,21,saliency (bigram)
497,21.19679361034287,érdek,22,saliency (bigram)
498,40.30309231416319,érdek,23,saliency (bigram)
499,62.89294836115399,érdek,24,saliency (bigram)
500,24.816912150102855,állam,0,saliency (bigram)
501,17.77646921727331,állam,1,saliency (bigram)
502,47.1207098958327,állam,2,saliency (bigram)
503,41.93545277251741,állam,3,saliency (bigram)
504,109.65463425922582,állam,4,saliency (bigram)
505,67.49058619452036,állam,5,saliency (bigram)
506,60.15314678153488,állam,6,saliency (bigram)
507,27.447743295182722,állam,7,saliency (bigram)
508,83.97905119112971,állam,8,saliency (bigram)
509,14.210180564139762,állam,9,saliency (bigram)
510,38.74025876952084,állam,10,saliency (bigram)
511,94.40606821507176,állam,11,saliency (bigram)
512,121.62466720772618,állam,12,saliency (bigram)
513,85.97152379456988,állam,13,saliency (bigram)
514,19.553475098152376,állam,14,saliency (bigram)
515,43.904106090387934,állam,15,saliency (bigram)
516,25.35443823277613,állam,16,saliency (bigram)
517,30.362318109932,állam,17,saliency (bigram)
518,34.76790115067707,állam,18,saliency (bigram)
519,15.860374859273854,állam,19,saliency (bigram)
520,27.78758885363174,állam,20,saliency (bigram)
521,48.593727140240254,állam,21,saliency (bigram)
522,19.32473942860487,állam,22,saliency (bigram)
523,31.8208161467165,állam,23,saliency (bigram)
524,56.741028636013446,állam,24,saliency (bigram)
525,43.441991075978265,százalék,0,frequency (bigram)
526,26.495725701233084,százalék,1,frequency (bigram)
527,45.554128748314675,százalék,2,frequency (bigram)
528,42.37076351282068,százalék,3,frequency (bigram)
529,71.06928086723782,százalék,4,frequency (bigram)
530,146.11950592835353,százalék,5,frequency (bigram)
531,51.360443464277346,százalék,6,frequency (bigram)
532,31.790171994295836,százalék,7,frequency (bigram)
533,87.5862276886765,százalék,8,frequency (bigram)
534,16.342805264418946,százalék,9,frequency (bigram)
535,33.194336326441466,százalék,10,frequency (bigram)
536,9.781444374127227,százalék,11,frequency (bigram)
